0	0.594	0.406
0	0.656	0.344
0	0.763	0.237
1	0.493	0.507
0	0.659	0.341
1	0.279	0.721
0	0.8	0.2
1	0.24	0.76
0	0.767	0.233
0	0.53	0.47
0	0.882	0.118
0	0.809	0.191
0	0.668	0.332
0	0.94	0.06
0	0.772	0.228
1	0.325	0.675
0	0.73	0.27
1	0.221	0.779
0	0.736	0.264
0	0.56	0.44
1	0.318	0.682
0	0.951	0.049
1	0.09	0.91
0	0.67	0.33
0	0.648	0.352
1	0.269	0.731
0	0.51	0.49
1	0.486	0.514
1	0.337	0.663
0	0.729	0.271
0	0.788	0.212
1	0.483	0.517
0	0.717	0.283
0	0.981	0.019
0	0.67	0.33
0	0.619	0.381
0	0.903	0.097
0	0.949	0.051
0	0.979	0.021
1	0.206	0.794
0	0.633	0.367
1	0.325	0.675
0	0.824	0.176
1	0.189	0.811
0	0.561	0.439
1	0.315	0.685
1	0.18	0.82
1	0.446	0.554
1	0.143	0.857
0	0.508	0.492
1	0.188	0.812
0	0.996	0.004
1	0.453	0.547
0	0.996	0.004
1	0.384	0.616
0	0.94	0.06
0	0.909	0.091
0	0.876	0.124
1	0.409	0.591
0	0.889	0.111
0	0.501	0.499
0	0.532	0.468
0	0.58	0.42
1	0.366	0.634
0	0.577	0.423
1	0.348	0.652
1	0.399	0.601
1	0.448	0.552
1	0.144	0.856
0	0.976	0.024
0	0.953	0.047
0	0.533	0.467
0	0.504	0.496
0	0.809	0.191
0	0.683	0.317
0	0.637	0.363
0	0.87	0.13
1	0.388	0.612
0	0.925	0.075
1	0.22	0.78
0	0.801	0.199
0	0.719	0.281
1	0.226	0.774
1	0.317	0.683
1	0.157	0.843
0	0.655	0.345
0	0.617	0.383
1	0.279	0.721
0	0.673	0.327
1	0.469	0.531
0	0.687	0.313
0	0.632	0.368
1	0.234	0.766
0	0.63	0.37
1	0.244	0.756
1	0.272	0.728
0	0.579	0.421
1	0.309	0.691
0	0.657	0.343
1	0.384	0.616
1	0.056	0.944
0	0.983	0.017
0	0.878	0.122
0	0.708	0.292
0	0.665	0.335
0	0.998	0.002
0	0.887	0.113
1	0.339	0.661
0	0.845	0.155
0	0.935	0.065
0	0.99	0.01
1	0.481	0.519
0	0.841	0.159
0	0.975	0.025
0	0.987	0.013
0	0.719	0.281
0	0.996	0.004
0	0.998	0.002
0	0.973	0.027
0	0.62	0.38
0	0.693	0.307
0	0.97	0.03
0	0.867	0.133
1	0.324	0.676
0	0.816	0.184
1	0.309	0.691
0	0.656	0.344
0	0.979	0.021
0	0.963	0.037
0	0.831	0.169
0	0.999	0.001
0	0.728	0.272
1	0.337	0.663
0	0.959	0.041
0	0.992	0.008
0	0.991	0.009
0	0.802	0.198
0	0.956	0.044
0	0.797	0.203
0	0.82	0.18
0	0.995	0.005
0	0.822	0.178
0	0.998	0.002
0	0.996	0.004
0	0.804	0.196
0	0.979	0.021
0	0.895	0.105
0	0.931	0.069
0	0.838	0.162
0	0.989	0.011
0	0.883	0.117
1	0.448	0.552
0	0.769	0.231
1	0.338	0.662
0	0.886	0.114
0	0.974	0.026
0	0.875	0.125
1	0.495	0.505
0	0.847	0.153
0	0.941	0.059
0	0.997	0.003
0	0.52	0.48
0	0.987	0.013
0	0.737	0.263
0	0.863	0.137
1	0.482	0.518
0	0.978	0.022
0	0.956	0.044
0	0.996	0.004
0	0.978	0.022
0	0.993	0.007
0	0.955	0.045
0	0.887	0.113
0	0.827	0.173
0	0.921	0.079
0	0.883	0.117
0	0.775	0.225
0	0.574	0.426
0	0.651	0.349
0	0.994	0.006
0	0.757	0.243
